location,floor,first_recommendation_id,first_recommendation_count,second_recommendation_id,second_recommendation_count
906 Harnwell,9,9,,10,
906 Harnwell,,52,,,
229C Stouffer,,52,,,
347 Kings Court,,52,,,
1909 Harrison,19,25,,26,
1909 Harrison,,52,,,
1909 Harrison,19,25,,26,
1909 Harrison,,52,,,
1909 Harrison,19,25,,26,
1909 Harrison,,52,,,
202 Baldwin,,52,,,
543 Hill,,29,,,
315 Du Bois,,52,,,
419 Du Bois,,52,,,
1502 Rodin,15,39,,40,
1502 Rodin,,52,,,
1502 Rodin,15,39,,40,
1502 Rodin,,52,,,
1502 Rodin,15,39,,40,
1502 Rodin,,52,,,
376 Hill,,29,,,
909 Harrison,9,20,,21,
909 Harrison,,52,,,
909 Harrison,9,20,,21,
909 Harrison,,52,,,
808 Harnwell,8,9,,,
808 Harnwell,,52,,,
2212 Rodin,22,43,,,
2212 Rodin,,52,,,
510 Lauder College House,,48,,,
510 Lauder College House,,48,,,
218B Stouffer,,52,,,
120 Kings Court,,52,,,
120 Kings Court,,52,,,
435 Hill,,29,,,
354 Hill,,29,,,
,,52,,,
,,52,,,
2204 Harnwell,22,16,,,
2204 Harnwell,,52,,,
2204 Harnwell,22,16,,,
2204 Harnwell,,52,,,
2204 Harnwell,22,16,,,
2204 Harnwell,,52,,,
312 English House,,52,,,
312 English House,,52,,,
,,52,,,
2008 Rodin,20,42,,,
2008 Rodin,,52,,,
2008 Rodin,20,42,,,
2008 Rodin,,52,,,
2008 Rodin,20,42,,,
2008 Rodin,,52,,,
514 Harrison,5,18,,19,
514 Harrison,,52,,,
514 Harrison,5,18,,19,
514 Harrison,,52,,,
514 Harrison,5,18,,19,
514 Harrison,,52,,,
416 Du Bois,,52,,,
446 Hill,,29,,,
138C Stouffer,,52,,,
118 Van Pelt,,50,,,
414 Lauder College House,,48,,,
,,52,,,
208 English House,,52,,,
208 English House,,52,,,
,,52,,,
308 Kings Court,,52,,,
510 English House,,52,,,
510 English House,,52,,,
2014 Harrison,20,26,,,
2014 Harrison,,52,,,
504 English House,,52,,,
504 English House,,52,,,
549 Hill,,29,,,
1202 Harrison,12,22,,,
1202 Harrison,,52,,,
523 Lauder College House,,48,,,
523 Lauder College House,,48,,,
408 Van Pelt,,50,,,
408 Van Pelt,,50,,,
312 Harnwell,3,6,,7,
312 Harnwell,,52,,,
312 Harnwell,3,6,,7,
312 Harnwell,,52,,,
1714 Harrison,17,24,,25,
1714 Harrison,,52,,,
1311 Harrison,13,22,,23,
1311 Harrison,,52,,,
1311 Harrison,13,22,,23,
1311 Harrison,,52,,,
1311 Harrison,13,22,,23,
1311 Harrison,,52,,,
105 Baird,,52,,,
473 Hill,,29,,,
402 Mayer Hall,,31,,,
407 English House,,52,,,
407 English House,,52,,,
,,52,,,
,,52,,,
,,52,,,
815 Harrison,8,20,,,
815 Harrison,,52,,,
815 Harrison,8,20,,,
815 Harrison,,52,,,
140 Kings Court,,52,,,
129 Kings Court,,52,,,
1309 Harnwell,13,11,,12,
1309 Harnwell,,52,,,
1309 Harnwell,13,11,,12,
1309 Harnwell,,52,,,
103 Kings Court,,52,,,
401 Harnwell,4,7,,,
401 Harnwell,,52,,,
401 Harnwell,4,7,,,
401 Harnwell,,52,,,
501 Hill,,29,,,
307 Rodin,3,33,,34,
307 Rodin,,52,,,
1509 Harrison,15,23,,24,
1509 Harrison,,52,,,
1509 Harrison,15,23,,24,
1509 Harrison,,52,,,
350 Hill,,29,,,
811 Rodin,8,36,,,
811 Rodin,,52,,,
811 Rodin,8,36,,,
811 Rodin,,52,,,
150 Hill,,29,,,
,,52,,,
710 Lauder College House,,48,,,
1909 Harnwell,19,14,,15,
1909 Harnwell,,52,,,
1909 Harnwell,19,14,,15,
1909 Harnwell,,52,,,
1909 Harnwell,19,14,,15,
1909 Harnwell,,52,,,
313 Du Bois,,52,,,
342 Hill,,29,,,
251E Stouffer,,52,,,
2201 Harnwell,22,16,,,
2201 Harnwell,,52,,,
,,52,,,
,,52,,,
,,52,,,
,,52,,,
,,52,,,
578 Hill,,29,,,
204 Sigma DeltaTau,,52,,,
815 Harrison,8,20,,,
815 Harrison,,52,,,
403 Class of 25,,52,,,
211 Du Bois,,52,,,
226C Stouffer,,52,,,
244 Hill,,29,,,
142 Kings Court,,52,,,
